"","N_iter","ARI","Frobenius_norm","Simulation","Inference","N_seeds","Model"
"15",10000,0,9493.6,100,"Consensus",30,"Consensus (10000, 30)"
"16",1,0,9536,100,"Consensus",50,"Consensus (1, 50)"
"17",10,0,9476,100,"Consensus",50,"Consensus (10, 50)"
"18",100,0,9482.04,100,"Consensus",50,"Consensus (100, 50)"
"19",1000,0,9509.44,100,"Consensus",50,"Consensus (1000, 50)"
"20",10000,0,9481.4,100,"Consensus",50,"Consensus (10000, 50)"
"21",1,0,9530.64,100,"Consensus",100,"Consensus (1, 100)"
"22",10,0,9481.1,100,"Consensus",100,"Consensus (10, 100)"
"23",100,0,9495.18,100,"Consensus",100,"Consensus (100, 100)"
"24",1000,0,9499.16,100,"Consensus",100,"Consensus (1000, 100)"
"25",10000,0,9493.08,100,"Consensus",100,"Consensus (10000, 100)"
"26",1,0,9454,10,"Consensus",1,"Consensus (1, 1)"
"27",10,0,9510,10,"Consensus",1,"Consensus (10, 1)"
"28",100,0,9484,10,"Consensus",1,"Consensus (100, 1)"
"29",1000,0,9580,10,"Consensus",1,"Consensus (1000, 1)"
"30",10000,0,9432,10,"Consensus",1,"Consensus (10000, 1)"
"31",1,0,9523.8,10,"Consensus",10,"Consensus (1, 10)"
"32",10,0,9469.2,10,"Consensus",10,"Consensus (10, 10)"
"33",100,0,9521.8,10,"Consensus",10,"Consensus (100, 10)"
"34",1000,0,9509.4,10,"Consensus",10,"Consensus (1000, 10)"
"35",10000,0,9524.4,10,"Consensus",10,"Consensus (10000, 10)"
"36",1,0,9523.8,10,"Consensus",30,"Consensus (1, 30)"
"37",10,0,9488.8,10,"Consensus",30,"Consensus (10, 30)"
"38",100,0,9527.26666666667,10,"Consensus",30,"Consensus (100, 30)"
"39",1000,0,9493.53333333333,10,"Consensus",30,"Consensus (1000, 30)"
"40",10000,0,9498.13333333333,10,"Consensus",30,"Consensus (10000, 30)"
"41",1,0,9524.6,10,"Consensus",50,"Consensus (1, 50)"
"42",10,0,9479.24,10,"Consensus",50,"Consensus (10, 50)"
"43",100,0,9502.68,10,"Consensus",50,"Consensus (100, 50)"
"44",1000,0,9507.96,10,"Consensus",50,"Consensus (1000, 50)"
"45",10000,0,9510.04,10,"Consensus",50,"Consensus (10000, 50)"
"46",1,0,9528.84,10,"Consensus",100,"Consensus (1, 100)"
"47",10,0,9485.38,10,"Consensus",100,"Consensus (10, 100)"
"48",100,0,9498.9,10,"Consensus",100,"Consensus (100, 100)"
"49",1000,0,9511.46,10,"Consensus",100,"Consensus (1000, 100)"
"50",10000,0,9511.52,10,"Consensus",100,"Consensus (10000, 100)"
"51",1,0,9590,11,"Consensus",1,"Consensus (1, 1)"
"52",10,0,9490,11,"Consensus",1,"Consensus (10, 1)"
"53",100,0,9614,11,"Consensus",1,"Consensus (100, 1)"
"54",1000,0,9436,11,"Consensus",1,"Consensus (1000, 1)"
"55",10000,0,9438,11,"Consensus",1,"Consensus (10000, 1)"
"56",1,0,9528,11,"Consensus",10,"Consensus (1, 10)"
"57",10,0,9444.2,11,"Consensus",10,"Consensus (10, 10)"
"58",100,0,9541,11,"Consensus",10,"Consensus (100, 10)"
"59",1000,0,9503,11,"Consensus",10,"Consensus (1000, 10)"
"60",10000,0,9475.8,11,"Consensus",10,"Consensus (10000, 10)"
"61",1,0,9527.06666666667,11,"Consensus",30,"Consensus (1, 30)"
"62",10,0,9471.2,11,"Consensus",30,"Consensus (10, 30)"
"63",100,0,9501.53333333333,11,"Consensus",30,"Consensus (100, 30)"
"64",1000,0,9514,11,"Consensus",30,"Consensus (1000, 30)"
"65",10000,0,9511,11,"Consensus",30,"Consensus (10000, 30)"
"66",1,0,9528.8,11,"Consensus",50,"Consensus (1, 50)"
"67",10,0,9474.12,11,"Consensus",50,"Consensus (10, 50)"
"68",100,0,9507.68,11,"Consensus",50,"Consensus (100, 50)"
"69",1000,0,9513.24,11,"Consensus",50,"Consensus (1000, 50)"
"70",10000,0,9513.36,11,"Consensus",50,"Consensus (10000, 50)"
"71",1,0,9530.38,11,"Consensus",100,"Consensus (1, 100)"
"72",10,0,9483.22,11,"Consensus",100,"Consensus (10, 100)"
"73",100,0,9513.36,11,"Consensus",100,"Consensus (100, 100)"
"74",1000,0,9510.08,11,"Consensus",100,"Consensus (1000, 100)"
"75",10000,0,9503.36,11,"Consensus",100,"Consensus (10000, 100)"
"76",1,0,9402,12,"Consensus",1,"Consensus (1, 1)"
"77",10,0,9482,12,"Consensus",1,"Consensus (10, 1)"
